date,race.eth,count,total
2021-02-01,white,33.300525103382064,44
2021-02-01,black,5.9232947083501974,44
2021-02-01,asian,2.985823302766444,44
2021-02-01,hispanic,3.104977716589747,44
2021-02-08,white,24.724040907219536,44
2021-02-08,black,15.085978569352363,44
2021-02-08,asian,1.5903323703676253,44
2021-02-08,hispanic,2.543467819096085,44
2021-02-15,white,81.70824506296617,129
2021-02-15,black,36.72714988271967,129
2021-02-15,asian,4.441073738345787,129
2021-02-15,hispanic,11.6014074008289,129
2021-02-22,white,72.78300283701219,112
2021-02-22,black,31.22149322807359,112
2021-02-22,asian,3.0174533275147626,112
2021-02-22,hispanic,3.8701022436668224,112
2021-03-01,white,482.12488634615977,854
2021-03-01,black,300.74380154333403,854
2021-03-01,asian,29.757945895800212,854
2021-03-01,hispanic,52.749492785880655,854
2021-03-08,white,479.9085571354986,859
2021-03-08,black,310.29594236859936,859
2021-03-08,asian,30.420733112877752,859
2021-03-08,hispanic,53.56074581970143,859
2021-03-15,white,461.065312815866,877
2021-03-15,black,343.3637675647232,877
2021-03-15,asian,31.663593334808972,877
2021-03-15,hispanic,55.311504102964804,877
2021-03-22,white,472.86229829686965,838
2021-03-22,black,297.8271983942247,838
2021-03-22,asian,28.225351014987048,838
2021-03-22,hispanic,45.42444326494094,838
2021-03-29,white,626.702084251752,1084
2021-03-29,black,368.8403130394176,1084
2021-03-29,asian,35.29637835296997,1084
2021-03-29,hispanic,62.17536790605754,1084
2021-04-05,white,579.1753428466009,1017
2021-04-05,black,349.6522091600689,1017
2021-04-05,asian,36.4895231854334,1017
2021-04-05,hispanic,57.28821131016165,1017
